,Address_locality,Address_street,Area,Bed Rooms,Full Baths,Half Baths,Lot Size,Price
0,"Rock Springs, WY 82901",0 Gateway,,,,,,"$725,000"
1,"Rock Springs, WY 82901",1003 Winchester Blvd.,,4,4,,0.21 Acres,"$452,900"
2,"Rock Springs, WY 82901",600 Talladega,"3,154",5,3,,,"$396,900"
3,"Rock Springs, WY 82901",3239 Spearhead Way,"3,076",4,3,1,"Under 1/2 Acre, ","$389,900"
4,"Rock Springs, WY 82901",522 Emerald Street,"1,172",3,3,,"Under 1/2 Acre, ","$254,000"
5,"Rock Springs, WY 82901",1302 Veteran's Drive,"1,932",4,2,,0.27 Acres,"$252,900"
6,"Rock Springs, WY 82901",1021 Cypress Cir,"1,676",4,3,,"Under 1/2 Acre, ","$210,000"
7,"Rock Springs, WY 82901",913 Madison Dr,"1,344",3,2,,"Under 1/2 Acre, ","$209,000"
8,"Rock Springs, WY 82901",1344 Teton Street,"1,920",3,2,,"Under 1/2 Acre, ","$199,900"
9,"Rock Springs, WY 82901",4 Minnies Lane,"1,664",3,2,,2.02 Acres,"$196,900"
10,"Rocksprings, TX 78880",9339 Sd 26900,"2,560",,,,,"$1,700,000"
11,"Rocksprings, TX 78880",RR674P13 Hwy 377,"2,000",,,,,"$1,100,000"
12,"Rocksprings, TX 78880",0 Hwy 41,,,,,,"$1,080,000"
13,"Rocksprings, TX 78880",9339 Sd 26900,"2,560",,,,,"$908,350"
14,"Rocksprings, TX 78880",CR450 Hwy 377,,,,,,"$905,000"
15,"Rocksprings, TX 78880",Cr 240 Cr 240,"1,398",,,,,"$695,000"
16,"Rocksprings, TX 78880",RR674 Hwy 377,"1,738",,,,,"$605,000"
17,"Rocksprings, TX 78880",9770a Sd 26900,"1,080",,,,,"$559,805"
18,"Rocksprings, TX 78880",Lot17 CR 2630,,,,,,"$504,000"
19,"Rocksprings, TX 78880","Tr12,16 CR 520",,,,,,"$410,000"
20,"Black Canyon City, AZ 85324",32575 S Shadow Mountain Road,"2,318",3,2,,,"$299,900"
21,"Black Canyon City, AZ 85324",32750 S Shangrila Drive,"2,120",3,2,,,"$167,500"
22,"Black Canyon City, AZ 85324",0000 Black Canyon Highway,,,,,5 Acres,"$150,000"
23,"Black Canyon City, AZ 85324",34775 S CHOLLA Drive,"1,220",3,2,,,"$129,500"
24,"BLACK CANYON CITY, AZ 85324",33403 S. HA-WA-SI TERRACE,"2,000",4,2,,,"$129,000"
25,"Black Canyon City, AZ 85324",34263 S Bertha Street,"2,260",5,2,,,"$80,000"
26,"Black Canyon City, AZ 85324",33160 S Canyon Road,"1,248",3,2,,,"$77,900"
27,"Black Canyon City, AZ 85324",19421 E Todd Evans Road,"1,404",3,2,,,"$70,500"
28,"Black Canyon City, AZ 85324",18688 E AGUA Vista,,,,,0.7 Acres,"$70,000"
29,"Black Canyon City, AZ 85324",50600 N Old Black Canyon Road,,,,,3 Acres,"$67,500"
30,"Black Canyon City, AZ 85324",20101 E SQUAW VALLEY Road,,,,,,"$54,900"
31,"Black Canyon City, AZ 85324",33259 S Canyon Road,"1,056",3,1,,,"$45,600"
32,"Black Canyon City, AZ 85324",34558 S ROADRUNNER RD,784,2,1,,Under 1/2 Acre,"$40,000"
33,"Black Canyon City, AZ 85324",19260 E Scenic Loop Road,,,,,2.35 Acres,"$30,000"
34,"Black Canyon City, AZ 85324",19000 E MAREN Avenue,,,,,2.05 Acres,"$29,000"
35,"Black Canyon City, AZ 85324",19350 E SAGUARO Drive,,,,,0.73 Acres,"$28,995"
36,"Black Canyon City, AZ 85324",20650 E Amethyst Place,,,,,0.31 Acres,"$15,000"
